pmid,title,authors,journal,pub_date,pub_year,doi,abstract,mesh_terms,pub_type,likely_relevant
42128174,Andes hantavirus outbreak on a cruise ship - an ESCMID Emerging Infections Subcommittee (EIS) rapid assessment.,Mora-Rillo M; Gupta N; Gkrania-Klotsas E; Drexler JF; Jokelainen P et al.,Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases,2026-May,2026,10.1016/j.cmi.2026.05.016,,,Journal Article,yes
42120482,Cruise-ship hantavirus cluster exposes a wider preparedness gap.,López-Camacho C,Nature,2026-May,2026,10.1038/d41586-026-01518-4,,,News,no
42114896,Hantavirus: French and US nationals test positive as cruise ship docks in Canary Islands.,Lang K,BMJ (Clinical research ed.),2026-May,2026,10.1136/bmj.s916,,,Journal Article,yes
42110237,"""Navigating Healthy Waters"": monitoring ship wastewater as a key defense against infectious diseases-a pilot study on a Mediterranean seaport.",Federigi I; Zotti N; Pellegrini M; Verani M; Pagani A et al.,Frontiers in public health,2026,2026,10.3389/fpubh.2026.1786232,"Wastewater-based surveillance represents a non-invasive approach to monitor pathogen circulation, but data on cruise ships are scarce, although this enclosed environment is prone to infectious diseases spreading. We conducted a pilot study in a Mediterranean seaport (Italy) between July and October 2024, combining wastewater monitoring with onboard clinical surveillance. Twenty wastewater samples (10 untreated and 10 treated) were collected from 10 cruise ships. Viral detection targeted 10 human respiratory and gastrointestinal viruses. Bacterial and viral indicators (total coliform, Escherichia coli, intestinal enterococci, and somatic coliphages) were analyzed to evaluate wastewater treatment performance. Aggregated clinical data were extracted from medical reports and categorized using ICD-10 codes for symptoms of likely infectious viral origin. Norovirus genogroup II was consistently detected in untreated sewage (100%), followed by SARS-CoV-2 (60%), human adenovirus (30%), enterovirus, rotavirus, and hepatitis E virus (10-20%). Viral loads decreased in treated samples, although wastewater treatment efficiency varied widely among vessels: some ships exhibited a logarithmic abatement of less than 2 log10 units, with effluents showing microbiological concentrations above the thermotolerant coliform benchmark established for sewage treatment plant certification by the International Maritime Organization (IMO) guidelines. Clinical surveillance recorded more respiratory than gastrointestinal cases, with COVID-19 and influenza confirmed in several arrivals. The integration of environmental and clinical data provided complementary insights, particularly for SARS-CoV-2 detection in wastewater, which occurred in around 85% of ship arrivals with clinically diagnosed COVID-19 cases. These findings demonstrate that wastewater monitoring can complement clinical surveillance on cruise ships, by offering information on viral circulation. The variability observed in treatment efficacy underscores the need for harmonized standards and supports the inclusion of wastewater monitoring in maritime preparedness and resilience strategies to strengthen public health security against emerging infectious threats and enhance system adaptability to future outbreaks.",Pilot Projects; Humans; Wastewater; Ships; Mediterranean Sea; Italy; Sewage; Environmental Monitoring; COVID-19; SARS-CoV-2; Communicable Diseases,Journal Article,yes
42107872,"When Rare Zoonoses Travel: Andes virus, Hantavirus Cardiopulmonary Syndrome, and the Preparedness Gap.",Velavan TP; Schmidt-Chanasit J,International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,2026-May,2026,10.1016/j.ijid.2026.108778,"The perspective discusses how the suspected Andes virus (ANDV) associated hantavirus cluster on the expedition cruise ship MV Hondius illustrates a critical preparedness gap in managing rare zoonotic infections in mobile, closed, and medically constrained settings. Focusing on the reported multi-country cluster involving severe hantavirus cardiopulmonary syndrome, deaths, and international passenger dispersal, it highlights the associated diagnostic, clinical, and epidemiological challenges. The perspective also explains why ANDV is distinct among hantaviruses, including its documented potential for limited person-to-person transmission during close and prolonged contact, with insights into the virology and pathogenesis of ANDV. Additionally, it highlights ecological exposure hazards in Patagonia, rodent reservoirs, clinical progression, the necessity for laboratory confirmation, candidate severity biomarkers such as IL-6 and intestinal fatty acid-binding protein, and the lack of specific antiviral therapy. Furthermore, it discusses risk factors, including European ethnicity and host genetic susceptibility linked to αVβ3 integrin variation. Overall, this perspective argues that expedition travel, maritime medicine, One Health surveillance and outbreak preparedness must be better integrated in order to detect, investigate and manage rare but high-consequence zoonotic infections before they escalate into international public health events.",,Journal Article,yes
42107514,Lethal Hantavirus at Sea: Infectious Disease Outbreaks on Cruise Ships and Limits of Preparedness.,Zumla A; McCloskey B; Ippolito G; Traore T; Azhar EI et al.,Travel medicine and infectious disease,2026-May,2026,10.1016/j.tmaid.2026.102989,,,Editorial,yes
42091168,Hantavirus: Three dead in cruise ship outbreak as authorities investigate human-to-human transmission.,Taylor L,BMJ (Clinical research ed.),2026-May,2026,10.1136/bmj.s875,,,Journal Article,yes
42082807,Hantavirus crops up on a cruise ship - what scientists are watching.,Basu M; Fieldhouse R,Nature,2026-May,2026,10.1038/d41586-026-01450-7,,,News,yes
41831553,Passive wastewater surveillance of viral pathogens on cruise ships as a powerful tool for public health protection.,Zafeiriadou A; Georgakopoulou G; Gerokonstantis TD; Kostakis M; Papamichalis S et al.,"Environmental pollution (Barking, Essex : 1987)",2026-May,2026,10.1016/j.envpol.2026.127953,"Wastewater-based epidemiology (WBE) provides a powerful, non-invasive tool for monitoring infectious diseases at the population level. While it has been widely implemented in urban settings, its application in mobile, confined, and operationally complex environments remains limited. Cruise ships are a major global travel sector, carrying tens of millions of passengers annually and can act as hubs for rapid viral transmission and transboundary spread, due to high population density, shared facilities, and continuous passenger interaction. Early detection of viral pathogens in such settings is critical for preventing widespread outbreaks. We conducted a four-day study on a passenger cruise ship, comparing passive and composite wastewater sampling approaches. Samples collected from multiple blackwater tanks were analyzed for eight clinically relevant viruses (SARS-CoV-2, IAV, IBV, RSV, HAV, HEV, NoV-GII, and AdV F40/41) using RT-qPCR and RT-ddPCR. SARS-CoV-2, IAV, and NoV-GII were consistently detected in both sampling types. Passive samplers yielded lower viral loads and detection frequencies for SARS-CoV-2 and IAV, but captured similar temporal trends to composite samples. For NoV-GII, performance between the two approaches was comparable, reflecting its high shedding levels. A strong positive correlation was observed between methods for SARS-CoV-2 detection dynamics (r = 0.99, p = 0.010). Passive sampling represents a cost-effective, operationally simple strategy for WBE on cruise ships. Its ability to reliably detect trends highlights its potential for early-warning surveillance in high-mobility environments, strengthening outbreak preparedness and supporting public health protection in globally connected travel networks.",Wastewater; Ships; SARS-CoV-2; Public Health; Environmental Monitoring; Humans; Viruses; COVID-19; Wastewater-Based Epidemiological Monitoring,Journal Article,yes
41576592,Seabird responses to altered marine vessel activity during the COVID-19 anthropause: insights from citizen science.,Hart KA; Drever M; O'Hagan G; Schrimpf MB; Smallshaw L et al.,The Science of the total environment,2026-Feb,2026,10.1016/j.scitotenv.2026.181456,"Human activities exert multifaceted pressures on marine ecosystems, yet the degree to which seabirds respond to changes in vessel activity remains poorly quantified. The COVID-19 ""anthropause"" provided an unprecedented natural experiment to assess these responses across spatial and temporal scales. We combined Automatic Identification System data describing marine vessel activity with citizen-science observations from eBird to examine how 35 coastal seabird species in British Columbia, Canada, responded to pandemic-related changes in vessel traffic. Vessel activity was modelled using Generalized Additive Models to identify sites where small (personal), mid-sized (fishing and tug), and large (cargo, tanker and passenger) vessel traffic increased or decreased relative to pre-pandemic years (2018-2019). Seabird abundance was then modelled using negative binomial Generalized Additive Mixed Models to test for species-level changes between pre- and post-COVID periods, using the same sites identified in the previous step as showing significant increases or decreases in vessel activity. This paired-model approach (one for increase sites and one for decrease sites) allowed us to isolate seabird responses to directional changes in vessel activity, increasing confidence that observed patterns reflected vessel effects rather than unrelated environmental variation. Results revealed strong spatial heterogeneity in vessel reductions, with large vessels showing widespread declines, while small and mid-sized vessels displayed mixed patterns. Seabird responses were closely linked to these patterns: abundance generally increased where small-vessel traffic declined and decreased where it increased, indicating a negative association with small boats, while the opposite was true for mid-sized vessels, with abundance tending to rise where traffic increased and fall where it declined, reflecting a positive association. Large vessels produced few, mostly positive, significant associations, suggesting weaker or more distant effects. Collectively, these results demonstrate that vessel type, predictability, and proximity influence seabird responses to maritime disturbance. Our findings underscore the importance of considering vessel class and species-specific behaviour in marine spatial planning and mitigation of human impacts on seabird communities.",Animals; COVID-19; Ships; British Columbia; Citizen Science; Birds; SARS-CoV-2; Ecosystem; Humans,Journal Article,no
41557813,Real-time spatiotemporal tracking of infectious outbreaks in confined environments with a host-pathogen agent-based system.,Srinivasan S; King J; Collins JM; Colubri A; Korkin D,Proceedings of the National Academy of Sciences of the United States of America,2026-Jan,2026,10.1073/pnas.2422574123,"Deadly infection outbreaks in confined spaces, whether it is a COVID-19 outbreak on a cruise ship or measles and stomach flu outbreaks in schools, can be characterized by their rapid spread due to the abundance of common spaces, shared airways, and high population density. Preventing future outbreaks and developing efficient mitigation protocols can benefit from advanced computational modeling approaches. Here, we developed an agent-based modeling approach to study the spatiotemporal dynamics of an infection outbreak in a confined environment caused by a specific pathogen, and to determine effective containment protocols. The approach integrates the 3D geographic information system of a confined environment, behavior of the hosts, key biological parameters about the pathogen obtained from the experimental data, and the general mechanics of host-pathogen and pathogen-fomite interactions. To assess our approach, we applied it to the historical data of infectious outbreaks caused by norovirus, H1N1 influenza A, and SARS-CoV-2 viruses. Our AI-GIS Infection Dynamics (AGID) model accurately predicted daily infection numbers, correctly identified the day when the CDC vessel sanitation protocol would be triggered, singled out key biological parameters affecting the infection spread, and propose pathogen-specific changes to existing containment protocols. Our work advances the understanding of infection spread on cruise ships while offering insights applicable to other similar confined settings, such as nursing homes, schools, and hospitals. By providing a robust framework for real-time outbreak modeling, this study proposes more effective containment protocols and enhances our preparedness for managing infectious diseases and emerging pathogens in confined environments.","Humans; COVID-19; Disease Outbreaks; SARS-CoV-2; Spatio-Temporal Analysis; Influenza A Virus, H1N1 Subtype; Host-Pathogen Interactions; Influenza, Human; Pandemics; Norovirus; Geographic Information Systems; Caliciviridae Infections; Betacoronavirus; Coronavirus Infections",Journal Article,yes
