Pathogen category,CDC VSP entries,Non-VSP official public-health reports,Events identified from peer-reviewed academic publications
Viral gastroenteritis,312 (72·6%),3 (50·0%),6 (14·0%)
Unknown aetiology,79 (18·4%),0,0
Bacterial/protozoal gastrointestinal pathogens,36 (8·4%),0,2 (4·7%)
Respiratory viral,0,0,28 (65·1%)
Legionella spp.,3 (0·7%),0,2 (4·7%)
Vaccine-preventable infections,0,2 (33·3%),5 (11·6%)
Zoonotic infection,0,1 (16·7%),0
