Pathogen category,1993–2009,2010–2019,2020–2022,2023–2026
Viral gastroenteritis,167 (66·3%),100 (77·5%),5 (17·2%),49 (79·0%)
Unknown aetiology,55 (21·8%),17 (13·2%),3 (10·3%),4 (6·5%)
Bacterial/protozoal gastrointestinal pathogens,23 (9·1%),7 (5·4%),1 (3·4%),7 (11·3%)
Respiratory viral,2 (0·8%),3 (2·3%),19 (65·5%),0
Legionella spp.,3 (1·2%),0,1 (3·4%),1 (1·6%)
Vaccine-preventable infections,2 (0·8%),2 (1·6%),0,0
Zoonotic infection,0,0,0,1 (1·6%)
