Pathogen category,"Events, n (%)",Cumulative cases,Deaths
Viral gastroenteritis,253 (69·7%),34533,0
Unknown aetiology,46 (12·7%),3404,1
Bacterial/protozoal gastrointestinal pathogens,31 (8·5%),2021,1
Respiratory viral,23 (6·3%),3042,61
Legionella spp.,5 (1·4%),68,1
Vaccine-preventable infections,4 (1·1%),37,0
Zoonotic infection,1 (0·3%),11,3
