event_id,ship_name,ship_type,voyage_route,outbreak_year,outbreak_duration_days,pathogen_identified,pathogen_category,secondary_pathogens,clinical_syndrome,cases_passengers,cases_crew,total_crew_onboard,attack_rate_percent,hospitalisations,deaths,transmission_route,data_source_category,data_source_reference,source_url,public_health_response,notes
EVT-788,Nantucket Clipper,ocean_cruise,NR,2000,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Clipper Cruise Line; sailing 1/15/2000-1/22/2000
EVT-789,Nantucket Clipper,ocean_cruise,NR,2000,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Clipper Cruise Line; sailing 1/22/2000-1/29/2000
EVT-790,Nantucket Clipper,ocean_cruise,NR,2000,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Clipper Cruise Line; sailing 2/5/2000-2/12/2000
EVT-791,Palm Beach Princess,ocean_cruise,NR,2000,NR,NR,unknown,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Palm Beach Casino Line; sailing 5/18/2000-6/1/2000; specimens not obtained
EVT-792,Spirit of Glacier Bay,ocean_cruise,NR,2000,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Cruise West; sailing 5/28/2000-6/1/2000
EVT-793,Disney Magic,ocean_cruise,NR,2000,NR,Salmonella spp.,foodborne_waterborne_bacterial,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,foodborne,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Disney Cruise Line; sailing 6/2/2000-6/5/2000
EVT-794,Oriana,ocean_cruise,NR,2001,NR,NR,unknown,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,P&O Cruises; sailing 2/20/2001-3/14/2001; specimens not obtained
EVT-795,Caronia,ocean_cruise,NR,2001,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Cunard Line; sailing 3/11/2001-3/29/2001
EVT-796,Mississippi,ocean_cruise,NR,2001,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Delta Queen Steamboat Company; August 2001
EVT-797,Nantucket Clipper,ocean_cruise,NR,2001,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Clipper Cruise Line; September 2001
EVT-870,Coronia,ocean_cruise,NR,2001,18,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Outbreak Investigations,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Cunard Line; sailing 3/11/2001-3/29/2001
EVT-038,Unnamed cruise ship (Norovirus 2002),ocean_cruise,Alaska,2002,7,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,348,31,NR,NR,NR,0,fecal-oral/person-to-person/environmental,official_public_health,NR,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,enhanced_sanitation; port_health_notification,NR
EVT-304,NR,ocean_cruise,NR,2002,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,176,NR,NR,NR,NR,NR,fecal-oral,official_public_health,"CDC MMWR 2002; Norovirus outbreaks on cruise ships, 2002",https://www.cdc.gov/mmwr/preview/mmwrhtml/mm5149a2.htm,NR,Multiple ships affected; 176 passenger cases reported
EVT-745,Cunard Caronia,ocean_cruise,NR,2002,13,Escherichia coli (ETEC),foodborne_waterborne_bacterial,Shigella,acute_gastroenteritis,NR,NR,NR,NR,NR,0,foodborne,official_public_health,NR,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,enhanced_sanitation; port_health_notification,NR
EVT-746,Nantucket Clipper,ocean_cruise,NR,2002,11,Sapovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,0,fecal-oral/person-to-person,official_public_health,NR,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,enhanced_sanitation; port_health_notification,NR
EVT-747,Norwegian Dream,ocean_cruise,NR,2002,16,Shigella spp.,foodborne_waterborne_bacterial,Giardia,acute_gastroenteritis,NR,NR,NR,NR,NR,0,foodborne,official_public_health,NR,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,enhanced_sanitation; port_health_notification,NR
EVT-748,Seven Seas Mariner,ocean_cruise,NR,2002,10,Salmonella spp.,foodborne_waterborne_bacterial,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,0,foodborne,official_public_health,NR,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,enhanced_sanitation; port_health_notification,NR
EVT-798,Carnival Pride,ocean_cruise,NR,2002,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Carnival Cruise Line; March 2002
EVT-799,Nantucket Clipper,ocean_cruise,NR,2002,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Clipper Cruise Line; sailing 3/23/2002-3/30/2002
EVT-800,Ryndam,ocean_cruise,NR,2002,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Holland America Line; sailing 4/7/2002-4/24/2002
EVT-801,Amsterdam,ocean_cruise,NR,2002,NR,NR,unknown,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Holland America Line; sailing 1/4/2002-4/28/2002; specimens not obtained
EVT-802,Ocean Princess,ocean_cruise,NR,2002,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Princess Cruises; sailing 5/25/2002-6/1/2002
EVT-803,Ryndam,ocean_cruise,NR,2002,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Holland America Line; sailing 7/25/2002-8/1/2002
EVT-804,Yorktown Clipper,ocean_cruise,NR,2002,NR,NR,unknown,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Clipper Cruise Line; sailing 7/27/2002-8/3/2002; specimens not obtained
EVT-805,Norwegian Sun,ocean_cruise,NR,2002,NR,NR,unknown,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Norwegian Cruise Line; sailing 8/3/2002-8/10/2002; specimens not obtained
EVT-806,Norwegian Sun,ocean_cruise,NR,2002,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Norwegian Cruise Line; sailing 9/28/2002-10/5/2002
EVT-807,Amsterdam,ocean_cruise,NR,2002,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Holland America Line; sailing 10/1/2002-10/22/2002
EVT-808,Seabourn Pride,ocean_cruise,NR,2002,NR,NR,unknown,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Seabourn Cruise Line; sailing 10/28/2002-11/10/2002; specimens not obtained
