event_id,ship_name,ship_type,voyage_route,outbreak_year,outbreak_duration_days,pathogen_identified,pathogen_category,secondary_pathogens,clinical_syndrome,cases_passengers,cases_crew,total_crew_onboard,attack_rate_percent,hospitalisations,deaths,transmission_route,data_source_category,data_source_reference,source_url,public_health_response,notes
EVT-757,American Adventure,ocean_cruise,NR,1993,39,Shigella flexneri,foodborne_waterborne_bacterial,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,0,foodborne,official_public_health,NR,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,enhanced_sanitation; port_health_notification,NR
EVT-751,Viking Serenade,ocean_cruise,San Pedro - Baja California,1994,4,Shigella flexneri 2a,foodborne_waterborne_bacterial,NR,acute_gastroenteritis,586,24,594,NR,5,1,foodborne,official_public_health,NR,https://www.cdc.gov/mmwr/preview/mmwrhtml/00032506.htm,enhanced_sanitation; port_health_notification,CDC MMWR 1994; 586 passengers + 24 crew ill; 1 death (78-year-old man); Royal Caribbean Cruises
EVT-752,Regent Rainbow,ocean_cruise,NR,1994,15,Viral gastroenteritis (unspecified),gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,0,fecal-oral/person-to-person,official_public_health,NR,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,enhanced_sanitation; port_health_notification,NR
EVT-764,StarShip Oceanic,ocean_cruise,NR,1994,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Premier Cruise Line; sailing 6/13/1994-6/17/1994
EVT-013,Horizon,ocean_cruise,New York - Bermuda,1994,NR,Legionella pneumophila,legionella,NR,legionnaires_disease,50,0,NR,NR,NR,1,aerosolized water (whirlpool spa),academic,NR,https://doi.org/10.1016/S0140-6736(96)91137-X,enhanced_sanitation; port_health_notification,Jernigan et al. Lancet 1996; 50 cases (16 confirmed + 34 probable) across 9 cruises Apr-Jul 1994; ship identified as M/V Horizon
EVT-303,NR,ocean_cruise,Southeast Asia,1994,NR,Vibrio cholerae O139,foodborne_waterborne_bacterial,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,foodborne,academic,"J Infect Dis 1995; Vibrio cholerae O139 Bengal outbreak among tourists on cruise/passenger ship to Southeast Asia, 1994",https://doi.org/10.1093/infdis/172.5.1401,NR,Cholera O139 Bengal strain outbreak among tourists on cruise/passenger ship
EVT-753,Fantasy,ocean_cruise,NR,1995,5,Shigella sonnei,foodborne_waterborne_bacterial,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,0,foodborne,official_public_health,NR,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,enhanced_sanitation; port_health_notification,NR
EVT-754,Horizon,ocean_cruise,NR,1995,8,Salmonella spp.,foodborne_waterborne_bacterial,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,0,foodborne,official_public_health,NR,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,enhanced_sanitation; port_health_notification,NR
EVT-755,Crown Odyssey,ocean_cruise,NR,1995,15,Escherichia coli (ETEC),foodborne_waterborne_bacterial,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,0,foodborne,official_public_health,NR,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,enhanced_sanitation; port_health_notification,NR
EVT-756,Royal Princess,ocean_cruise,NR,1996,12,Escherichia coli (ETEC),foodborne_waterborne_bacterial,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,0,foodborne,official_public_health,NR,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,enhanced_sanitation; port_health_notification,NR
EVT-765,Jubilee,ocean_cruise,NR,1996,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Carnival Cruise Line; sailing 6/16/1996-6/23/1996
EVT-766,Noordam,ocean_cruise,NR,1996,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Holland America Line; sailing 4/27/1996-5/11/1996
EVT-039,Unnamed cruise ship (Norovirus 1997),ocean_cruise,Caribbean,1997,7,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,215,18,NR,NR,NR,0,fecal-oral/person-to-person,official_public_health,NR,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,enhanced_sanitation,NR
EVT-300,NR,ocean_cruise,Florida,1997,NR,Rubella virus,vaccine_preventable,NR,febrile_rash_illness,0,NR,NR,NR,NR,NR,airborne,official_public_health,"CDC MMWR 1998; Rubella outbreak among crew of two commercial cruise ships, Florida, 1997",https://www.cdc.gov/mmwr/preview/mmwrhtml/00050783.htm,NR,Multiple crew affected across 2 commercial cruise ships in Florida
EVT-749,Noordam,ocean_cruise,NR,1997,8,Cyclospora cayetanensis,foodborne_waterborne_bacterial,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,0,foodborne,official_public_health,NR,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,enhanced_sanitation; port_health_notification,NR
EVT-767,Regal Princess,ocean_cruise,NR,1997,NR,NR,unknown,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Princess Cruises; sailing 2/13/1997-2/28/1997; specimens not obtained
EVT-768,Nantucket Clipper,ocean_cruise,NR,1997,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Clipper Cruise Line; sailing 2/8/1997-2/15/1997
EVT-769,Royal Odyssey,ocean_cruise,NR,1997,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Royal Cruise Line; sailing 3/4/1997-3/14/1997
EVT-770,Royal Odyssey,ocean_cruise,NR,1997,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Royal Cruise Line; sailing 3/25/1997-4/4/1997; no sail recommendation
EVT-771,Royal Princess,ocean_cruise,NR,1997,NR,Escherichia coli (ETEC),foodborne_waterborne_bacterial,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,foodborne,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Princess Cruises; sailing 4/15/1997-4/19/1997
EVT-772,Nantucket Clipper,ocean_cruise,NR,1997,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Clipper Cruise Line; sailing 10/23/1997-10/30/1997
EVT-773,Regal Empress,ocean_cruise,NR,1997,NR,Escherichia coli (ETEC),foodborne_waterborne_bacterial,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,foodborne,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Regal Cruises; sailing 12/17/1997-12/21/1997
EVT-774,Zenith,ocean_cruise,NR,1997,NR,NR,unknown,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Celebrity Cruises; sailing 12/5/1997-12/15/1997; specimens not obtained
EVT-015,Unnamed cruise ship (Miller 2000),ocean_cruise,Alaska,1997,7,Influenza A (H3N2),respiratory_viral,NR,influenza_like_illness,215,NR,NR,NR,NR,0,airborne/droplet,academic,NR,https://doi.org/10.1086/313974,port_health_notification,Miller et al. CID 2000; 215 ARI cases on cruise 2 (Sep 1997); novel A/Sydney/5/97-like H3N2 strain identified
EVT-775,Legend of the Seas,ocean_cruise,NR,1998,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Royal Caribbean; sailing 2/28/1998-3/11/1998
EVT-776,Statendam,ocean_cruise,NR,1998,NR,NR,unknown,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Holland America Line; sailing 3/29/1998-4/8/1998; specimens not obtained
EVT-777,Ocean Breeze,ocean_cruise,NR,1998,NR,Escherichia coli (ETEC),foodborne_waterborne_bacterial,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,foodborne,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Imperial Majesty Cruises; sailing 5/17/1998-5/24/1998; investigation at request of cruise line outside the U.S.
EVT-778,Regal Princess,ocean_cruise,NR,1998,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Princess Cruises; sailing 6/7/1998-6/14/1998
EVT-779,Regal Princess,ocean_cruise,NR,1998,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Princess Cruises; sailing 6/14/1998-6/21/1998
EVT-780,Regal Princess,ocean_cruise,NR,1998,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Princess Cruises; sailing 6/21/1998-6/28/1998
EVT-781,Norway,ocean_cruise,NR,1998,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Norwegian Cruise Line; sailing 10/10/1998-10/24/1998
EVT-782,Vision of the Seas,ocean_cruise,NR,1998,NR,NR,unknown,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Royal Caribbean; sailing 11/28/1998-12/7/1998; specimens not obtained
EVT-871,Nantucket Clipper,ocean_cruise,NR,1998,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Outbreak Investigations,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Clipper Cruise Line; sailing 1/2/1998-1/9/1999
EVT-783,Nantucket Clipper,ocean_cruise,NR,1999,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Clipper Cruise Line; sailing 1/2/1998-1/9/1999
EVT-784,Nantucket Clipper,ocean_cruise,NR,1999,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Clipper Cruise Line; sailing 1/9/1999-1/16/1999
EVT-785,Nantucket Clipper,ocean_cruise,NR,1999,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Clipper Cruise Line; sailing 1/16/1999-1/23/1999
EVT-786,Nantucket Clipper,ocean_cruise,NR,1999,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Clipper Cruise Line; sailing 1/23/1999-1/30/1999
EVT-787,Nantucket Clipper,ocean_cruise,NR,1999,NR,Norovirus,gastrointestinal_viral,NR,acute_gastroenteritis,NR,NR,NR,NR,NR,NR,fecal-oral/person-to-person,official_public_health,CDC VSP Archived Outbreak Updates 1993-2018,https://archive.cdc.gov/www_cdc_gov/nceh/vsp/surv/outbreak/archived-outbreaks-1993-2018.html,enhanced_sanitation; port_health_notification,Clipper Cruise Line; sailing 1/30/1999-2/6/1999
