record_id,source_database,source_category,title,year,ship_name,pathogen,source_url,retrieval_date,language,screening_outcome
SR-0027,CDC VSP,official_public_health,Sea Cloud Spirit - Ciguatera (presumed) (1/4/2025-1/10/2025),2025,Sea Cloud Spirit,Ciguatera (presumed),https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0028,CDC VSP,official_public_health,Eurodam - Norovirus (12/30/2024-1/8/2025),2024,Eurodam,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0029,CDC VSP,official_public_health,Oceania Nautica - Norovirus (12/23/2024-1/8/2025),2024,Oceania Nautica,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0030,CDC VSP,official_public_health,Queen Mary 2 - Norovirus (12/21/2024-1/3/2025),2024,Queen Mary 2,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0031,CDC VSP,official_public_health,"Queen Mary 2 - Norovirus (12/14-12/21, 2024)",2024,Queen Mary 2,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0032,CDC VSP,official_public_health,"Rotterdam - Norovirus (12/8-12/20, 2024)",2024,Rotterdam,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0033,CDC VSP,official_public_health,"Ruby Princess - Norovirus (12/2-12/18, 2024)",2024,Ruby Princess,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0034,CDC VSP,official_public_health,"Zuiderdam - Norovirus (12/4-12/14, 2024)",2024,Zuiderdam,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0035,CDC VSP,official_public_health,"Coral Princess - Norovirus (10/17-11/17, 2024)",2024,Coral Princess,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0036,CDC VSP,official_public_health,"Radiance of the Seas - Salmonella (9/20-9/27, 2024)",2024,Radiance of the Seas,Salmonella,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0037,CDC VSP,official_public_health,"Arcadia - Norovirus (9/3-10/3, 2024)",2024,Arcadia,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0038,CDC VSP,official_public_health,"Celebrity Summit - Norovirus (5/24-5/31, 2024)",2024,Celebrity Summit,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
