record_id,title,source_database,source_category,year,screening_stage,decision,exclusion_reason,notes
SR-0001,Caribbean Princess - Norovirus (4/28/2026 – 5/11/2026),CDC VSP,official_public_health,2026,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0002,Insignia - E. coli (4/7/2026 – 4/14/2026),CDC VSP,official_public_health,2026,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0003,Star Princess - Norovirus (3/7/2026 – 3/14/2026),CDC VSP,official_public_health,2026,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0004,Seven Seas Mariner - E. coli (1/11/2026 – 2/1/2026),CDC VSP,official_public_health,2026,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0005,Rotterdam - Norovirus (12/28/2025 – 1/9/2026),CDC VSP,official_public_health,2025,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0006,Celebrity Eclipse - Norovirus (12/20/2025 – 12/28/2025),CDC VSP,official_public_health,2025,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0007,AIDAdiva - Norovirus (11/10/2025 – 12/16/2025),CDC VSP,official_public_health,2025,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0008,Oceania Insignia - Norovirus (10/16/2025 – 10/27/2025),CDC VSP,official_public_health,2025,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0009,Serenade of the Seas - Norovirus (9/19/2025 – 10/2/2025),CDC VSP,official_public_health,2025,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0010,Navigator of the Seas - Norovirus (7/4/2025 – 7/11/2025),CDC VSP,official_public_health,2025,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0011,Seven Seas Explorer - Unknown (4/26/2025 – 5/14/2025),CDC VSP,official_public_health,2025,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0012,Eurodam - Norovirus (4/12/2025-5/3/2025),CDC VSP,official_public_health,2025,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0013,Zuiderdam - Unknown (1/4/2025-5/9/2025),CDC VSP,official_public_health,2025,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0014,National Geographic Sea Lion - Unknown (4/15/2025-4/29/2025),CDC VSP,official_public_health,2025,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0015,Viking Polaris - Norovirus (4/11/2025-4/23/2025),CDC VSP,official_public_health,2025,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0016,Seabourn Encore - Norovirus (3/16/2025-4/9/2025),CDC VSP,official_public_health,2025,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0017,Queen Mary 2 - Norovirus (3/8/2025-4/6/2025),CDC VSP,official_public_health,2025,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0018,Rotterdam - Norovirus (3/7/2025-3/16/2025),CDC VSP,official_public_health,2025,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0019,Coral Princess - Norovirus (2/21/2025-3/9/2025),CDC VSP,official_public_health,2025,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0020,Eurodam - Norovirus (2/19/2025-3/1/2025),CDC VSP,official_public_health,2025,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0021,Rotterdam - Norovirus (2/2/2025-2/14/2025),CDC VSP,official_public_health,2025,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0022,Radiance of the Seas - Norovirus (2/1/2025-2/8/2025),CDC VSP,official_public_health,2025,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0023,Coral Princess - Norovirus (1/20/2025-2/5/2025),CDC VSP,official_public_health,2025,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0024,Viking Mars - Norovirus (1/10/2025-1/24/2025),CDC VSP,official_public_health,2025,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0025,Volendam - Norovirus (1/4/2025-1/25/2025),CDC VSP,official_public_health,2025,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0026,Silver Ray - E. coli (1/4/2025-1/20/2025),CDC VSP,official_public_health,2025,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0027,Sea Cloud Spirit - Ciguatera (presumed) (1/4/2025-1/10/2025),CDC VSP,official_public_health,2025,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0028,Eurodam - Norovirus (12/30/2024-1/8/2025),CDC VSP,official_public_health,2024,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0029,Oceania Nautica - Norovirus (12/23/2024-1/8/2025),CDC VSP,official_public_health,2024,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0030,Queen Mary 2 - Norovirus (12/21/2024-1/3/2025),CDC VSP,official_public_health,2024,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0031,"Queen Mary 2 - Norovirus (12/14-12/21, 2024)",CDC VSP,official_public_health,2024,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0032,"Rotterdam - Norovirus (12/8-12/20, 2024)",CDC VSP,official_public_health,2024,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0033,"Ruby Princess - Norovirus (12/2-12/18, 2024)",CDC VSP,official_public_health,2024,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0034,"Zuiderdam - Norovirus (12/4-12/14, 2024)",CDC VSP,official_public_health,2024,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0035,"Coral Princess - Norovirus (10/17-11/17, 2024)",CDC VSP,official_public_health,2024,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0036,"Radiance of the Seas - Salmonella (9/20-9/27, 2024)",CDC VSP,official_public_health,2024,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0037,"Arcadia - Norovirus (9/3-10/3, 2024)",CDC VSP,official_public_health,2024,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0038,"Celebrity Summit - Norovirus (5/24-5/31, 2024)",CDC VSP,official_public_health,2024,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0039,"Allure of the Seas - Unknown (5/20-5/24, 2024)",CDC VSP,official_public_health,2024,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0040,"Sapphire Princess - Norovirus (4/5-5/7, 2024)",CDC VSP,official_public_health,2024,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0041,"Radiance of the Seas - Norovirus (4/8-4/22, 2024)",CDC VSP,official_public_health,2024,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0042,"Silver Nova - E. coli (3/31-4/16, 2024)",CDC VSP,official_public_health,2024,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0043,"Koningsdam - Norovirus (2/17-3/24, 2024)",CDC VSP,official_public_health,2024,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0044,"Queen Victoria - Norovirus (1/22-2/6, 2024)",CDC VSP,official_public_health,2024,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0045,"Celebrity Constellation - Norovirus (1/3–1/12, 2024)",CDC VSP,official_public_health,2024,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0046,"Scarlet Lady - SalmonellaandE. coli (10/8-10/13, 2023)",CDC VSP,official_public_health,2023,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0047,"Viking Neptune - Norovirus (6/6-6/20, 2023)",CDC VSP,official_public_health,2023,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0048,"Celebrity Summit - Norovirus (5/15-5/25, 2023)",CDC VSP,official_public_health,2023,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0049,"Nieuw Amsterdam - Norovirus (5/6-5/21, 2023)",CDC VSP,official_public_health,2023,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0050,"Grand Princess - Norovirus (3/31-4/28, 2023)",CDC VSP,official_public_health,2023,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0051,"Emerald Princess - Norovirus (3/17-4/1, 2023)",CDC VSP,official_public_health,2023,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0052,"Enchantment of the Seas - Norovirus (3/23-3/31, 2023)",CDC VSP,official_public_health,2023,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0053,"Enchantment of the Seas - Norovirus (3/11-3/23, 2023)",CDC VSP,official_public_health,2023,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0054,"Celebrity Equinox - Norovirus (3/9-3/18, 2023)",CDC VSP,official_public_health,2023,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0055,"Celebrity Constellation - Norovirus (3/6-3/17, 2023)",CDC VSP,official_public_health,2023,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0056,"Ruby Princess - Norovirus (2/26-3/5, 2023)",CDC VSP,official_public_health,2023,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
SR-0057,"Jewel of the Seas - Norovirus (1/28-2/3, 2023)",CDC VSP,official_public_health,2023,full_text,include,,CDC VSP official outbreak report; meets inclusion criteria
